Date,Good time to buy_mean,Uncertain - depends_mean,Bad time to buy_mean,Relative_mean,Value_3mon_mean,Value_10yr_mean,Yield spread_mean,USREC,Unemployment_mean,housing market_mean,Good time to buy_std,Uncertain - depends_std,Bad time to buy_std,Relative_std,Value_3mon_std,Value_10yr_std,Yield spread_std,Unemployment_std,housing market_std,Good time to buy_split,Uncertain - depends_split,Bad time to buy_split,Relative_split,Value_3mon_split,Value_10yr_split,Yield spread_split,Unemployment_split,housing market_split
1985-10-31,70.33333333333333,11.0,18.666666666666668,151.66666666666666,7.131945773524721,10.313931419457735,3.1819856459330147,0.0,7.099999999999999,112.29825796571339,2.309401076758502,2.6457513110645907,2.081665999466132,3.5118845842842425,0.031057813330953237,0.0699076643186579,0.09994374977558726,0.0,0.31959166203164735,4.0,5.0,4.0,7.0,0.06188995215311177,0.13633971291866231,0.19822966507177098,0.0,0.6294336112069914
1986-01-31,73.0,9.0,18.0,155.0,7.136900584795321,9.411478696741854,2.274578111946533,0.0,6.8999999999999995,113.20080540990539,6.082762530298219,1.0,5.291502622129181,11.357816691600547,0.08795251965758631,0.32217176925199276,0.23434325686642735,0.17320508075688776,0.3311684305870617,11.0,2.0,10.0,21.0,0.16355889724310657,0.5877694235588979,0.42421052631578915,0.2999999999999998,0.6607863624430195
1986-04-30,76.0,9.333333333333334,14.666666666666666,161.33333333333334,6.560358054226476,7.927267145135566,1.3669090909090909,0.0,7.166666666666667,115.88622947492188,1.7320508075688772,1.1547005383792515,0.5773502691896258,2.309401076758505,0.5039234599698735,0.7142751796621439,0.23682660951676582,0.05773502691896301,1.338868057280342,3.0,2.0,1.0,4.0,1.0078468899521527,1.4051196172248792,0.4220000000000004,0.10000000000000053,2.6769790816637737
1986-07-31,78.33333333333333,7.666666666666667,14.0,164.33333333333334,6.062561327561327,7.604076479076479,1.5415151515151513,0.0,7.133333333333333,118.73437753709902,3.0550504633038935,0.5773502691896258,3.0,6.027713773341707,0.2047249908762239,0.264439402729973,0.06002680822611776,0.11547005383792538,0.871016475202559,6.0,1.0,6.0,12.0,0.3804112554112553,0.49634199134199175,0.115930735930736,0.20000000000000018,1.7003227752460788
1986-10-31,76.33333333333333,8.666666666666666,15.0,161.33333333333334,5.30540404040404,7.346565656565656,2.041161616161616,0.0,6.966666666666666,120.93021793627497,0.5773502691896247,1.5275252316519468,1.0,0.5773502691896216,0.1926155564287315,0.15698204318018114,0.348680608572839,0.05773502691896237,0.460475845354805,1.0,3.0,2.0,1.0,0.347597402597402,0.2819047619047623,0.6082467532467537,0.09999999999999964,0.9119064150871168
1987-01-31,73.0,9.0,18.0,155.0,5.4348754208754215,7.149260942760942,1.7143855218855217,0.0,6.7,122.16754176343836,1.7320508075688772,1.7320508075688772,1.7320508075688772,3.0,0.08962856064395512,0.08885180733847096,0.16577221021435545,0.1732050807568882,0.4669327270122987,3.0,3.0,3.0,6.0,0.17873737373737342,0.1660555555555545,0.3165656565656565,0.3000000000000007,0.8278790897827975
1987-04-30,72.66666666666667,9.0,18.333333333333332,154.33333333333334,5.6072309561783245,7.5073399407609935,1.9001089845826689,0.0,6.5,122.4745974408879,1.5275252316519452,1.7320508075688772,2.081665999466132,3.2145502536643145,0.025097029013123474,0.4464519931891526,0.4213713132609971,0.17320508075688776,0.3109281016301995,3.0,3.0,4.0,6.0,0.04437229437229462,0.7742207792207791,0.7298484848484847,0.2999999999999998,0.6100094285795024
1987-07-31,76.0,9.333333333333334,14.666666666666666,161.33333333333334,5.673484848484848,8.487363636363636,2.8138787878787874,0.0,6.2,124.29244516868404,0.0,0.5773502691896255,0.5773502691896255,0.5773502691896216,0.016777181801515377,0.11106055231715593,0.12091580067962385,0.1000000000000002,0.7253653490195752,0.0,1.0,1.0,1.0,0.03227272727272723,0.2107272727272722,0.2189090909090914,0.20000000000000018,1.450681998003418
1987-10-31,72.66666666666667,10.666666666666666,16.666666666666668,156.0,6.1892063492063505,9.234126984126986,3.044920634920635,0.0,5.966666666666666,125.58380316054168,3.2145502536643202,1.5275252316519468,3.5118845842842457,6.557438524302,0.18731019619709818,0.4131155706079856,0.3316947252799381,0.05773502691896237,0.20401582205039348,6.0,3.0,7.0,13.0,0.3619047619047624,0.7595238095238095,0.6623809523809525,0.09999999999999964,0.40758893360145976
1988-01-31,69.0,9.666666666666666,21.333333333333332,147.66666666666666,5.758716108452951,8.838014354066985,3.079298245614035,0.0,5.733333333333333,125.86241251539269,3.0,0.5773502691896258,3.055050463303893,6.027713773341712,0.05998349710343193,0.16214523714441534,0.19861315099671997,0.05773502691896237,0.14337245362384793,6.0,1.0,6.0,12.0,0.11894736842105136,0.3219377990430612,0.3678947368421057,0.09999999999999964,0.24971144549908786
