,0
1965-09,108.4505316234696
1965-10,108.77920283293464
1965-11,109.33819154225084
1965-12,109.32869928114924
1966-01,109.66303781106103
1966-02,108.75614454867534
1966-03,108.41734036005018
1966-04,107.85574656268346
1966-05,108.07518856993205
1966-06,107.96038789021407
1966-07,107.73724787876921
1966-08,106.75316791464233
1966-09,106.75316791464233
1966-10,106.53509253729679
1966-11,106.53509253729679
1966-12,106.96597258800375
1967-01,106.96597258800375
1967-02,106.96597258800375
1967-03,105.89007815835971
1967-04,105.99844510254165
1967-05,106.3196525119433
1967-06,106.21322643335279
1967-07,105.89522276139664
1967-08,106.21386181292645
1967-09,105.8977491289594
1967-10,106.0041639288218
1967-11,106.00509732699672
1967-12,106.21511008076146
1968-01,105.48821827920084
1968-02,105.69790015807227
1968-03,105.1830964598234
